popularity,budget,revenue,original_title,director,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,gain,release_month,main_hero,genere1,company1
32.985763,150000000,1513528810,Jurassic World,Colin Trevorrow,124,5562,6.5,2015,137999939.280026,1392445892.5238,10.090192066666667,6,Chris Pratt,Action,Universal Studios
28.419936,150000000,378436354,Mad Max: Fury Road,George Miller,120,6185,7.1,2015,137999939.280026,348161292.489031,2.5229090266666665,5,Tom Hardy,Action,Village Roadshow Pictures
13.112507,110000000,295238201,Insurgent,Robert Schwentke,119,2480,6.3,2015,101199955.47201899,271619025.407628,2.6839836454545454,3,Shailene Woodley,Adventure,Summit Entertainment
11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,136,5292,7.5,2015,183999919.040035,1902723129.80182,10.340891125,12,Harrison Ford,Action,Lucasfilm
9.335014,190000000,1506249360,Furious 7,James Wan,137,2947,7.3,2015,174799923.08803302,1385748801.47052,7.927628210526316,4,Vin Diesel,Action,Universal Pictures
9.1107,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,156,3929,7.2,2015,124199945.352024,490314247.02173096,3.9477815037037036,12,Leonardo DiCaprio,Western,Regency Enterprises
8.654359,155000000,440603537,Terminator Genisys,Alan Taylor,125,2598,5.8,2015,142599937.256027,405355075.683766,2.842603464516129,6,Arnold Schwarzenegger,Science Fiction,Paramount Pictures
7.6674,108000000,595380321,The Martian,Ridley Scott,141,4572,7.6,2015,99359956.2816192,547749654.3101519,5.51278075,9,Matt Damon,Drama,Twentieth Century Fox Film Corporation
7.40416499999999,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,91,2893,6.5,2015,68079970.0448131,1064192016.7955099,15.631499486486486,6,Sandra Bullock,Family,Universal Pictures
6.326804,175000000,853708609,Inside Out,Pete Docter,94,3935,8.0,2015,160999929.16003102,785411574.698907,4.8783349085714285,6,Amy Poehler,Comedy,Walt Disney Pictures
6.200282,245000000,880674609,Spectre,Sam Mendes,148,3254,6.2,2015,225399900.824043,810220283.783075,3.5945902408163266,10,Daniel Craig,Action,Columbia Pictures
6.189369,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,1937,5.2,2015,161919931.51523,169268630.681802,1.0453847719536686,2,Mila Kunis,Science Fiction,Village Roadshow Pictures
6.118847,15000000,36869414,Ex Machina,Alex Garland,108,2854,7.6,2015,13799993.9280026,33919845.9552677,2.457960933333333,1,Domhnall Gleeson,Drama,DNA Films
5.984995,88000000,243637091,Pixels,Chris Columbus,105,1575,5.8,2015,80959964.37761559,224146025.095748,2.7686033068181817,7,Adam Sandler,Action,Columbia Pictures
5.944927,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,141,4304,7.4,2015,257599886.656049,1292632336.88177,5.017984882142857,4,Robert Downey Jr.,Action,Marvel Studios
5.8984,44000000,155760117,The Hateful Eight,Quentin Tarantino,167,2389,7.4,2015,40479982.18880779,143299244.588332,3.5400026590909093,12,Samuel L. Jackson,Crime,Double Feature Films
5.749758,48000000,325771424,Taken 3,Olivier Megaton,109,1578,6.1,2015,44159980.5696085,299709578.207785,6.786904666666667,1,Liam Neeson,Crime,Twentieth Century Fox Film Corporation
5.5731839999999995,130000000,518602163,Ant-Man,Peyton Reed,115,3779,7.0,2015,119599947.376023,477113780.029936,3.9892474076923077,7,Paul Rudd,Science Fiction,Marvel Studios
5.556818,95000000,542351353,Cinderella,Kenneth Branagh,112,1495,6.8,2015,87399961.54401691,498963025.21626794,5.708961610526316,3,Lily James,Romance,Walt Disney Pictures
5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,2380,6.5,2015,147199935.232028,598481289.508232,4.06577141875,11,Jennifer Lawrence,War,Studio Babelsberg
5.4621379999999995,190000000,209035668,Tomorrowland,Brad Bird,130,1899,6.2,2015,174799923.08803302,192312729.942398,1.1001877263157895,5,Britt Robertson,Action,Walt Disney Pictures
5.337064,30000000,91709827,Southpaw,Antoine Fuqua,123,1386,7.3,2015,27599987.856005296,84373003.7158783,3.0569942333333335,6,Jake Gyllenhaal,Action,Escape Artists
4.907832,110000000,470490832,San Andreas,Brad Peyton,114,2060,6.1,2015,101199955.47201899,432851374.985395,4.277189381818181,5,Dwayne Johnson,Action,New Line Cinema
4.71040199999999,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,125,1865,5.3,2015,36799983.808007106,524079119.045187,14.241286675,2,Dakota Johnson,Drama,Focus Features
4.648046,28000000,133346506,The Big Short,Adam McKay,130,1545,7.3,2015,25759988.665604897,122678731.54135801,4.762375214285714,12,Christian Bale,Comedy,Paramount Pictures
4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,2349,7.1,2015,137999939.280026,627743451.672881,4.548867593333333,7,Tom Cruise,Action,Paramount Pictures
4.5645489999999995,68000000,215863606,Ted 2,Seth MacFarlane,115,1666,6.3,2015,62559972.4736121,198594430.13845,3.174464794117647,6,Mark Wahlberg,Comedy,Universal Pictures
4.503789,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,130,3833,7.6,2015,74519967.21121441,371497801.660967,4.985211555555556,1,Taron Egerton,Crime,Twentieth Century Fox Film Corporation
4.062293,20000000,88346473,Spotlight,Tom McCarthy,128,1559,7.8,2015,18399991.9040035,81278719.39736341,4.41732365,11,Mark Ruffalo,Drama,Participant Media
3.968891,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,132,1849,6.4,2015,56119975.30721079,286356245.923251,5.102572557377049,9,Dylan O'Brien,Action,Gotham Group
3.899557,49000000,102069268,Chappie,Neill Blomkamp,120,1990,6.6,2015,45079980.164808705,93903685.2423785,2.0830462857142855,3,Sharlto Copley,Crime,Columbia Pictures
3.877764,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,115,1264,6.8,2015,26679988.260805104,264505582.09754303,9.914006689655173,5,Anna Kendrick,Comedy,Universal Pictures
3.6482099999999997,40000000,162610473,Bridge of Spies,Steven Spielberg,141,1638,7.1,2015,36799983.808007106,149601569.335309,4.065261825,10,Tom Hanks,Thriller,DreamWorks SKG
3.6445410000000003,58000000,150170815,Goosebumps,Rob Letterman,103,600,6.2,2015,53359976.5216103,138157089.01088,2.589151982758621,8,Jack Black,Adventure,Columbia Pictures
3.557846,6000000,35401758,Room,Lenny Abrahamson,117,1520,8.0,2015,5519997.57120106,32569603.029374603,5.900293,10,Brie Larson,Drama,Element Pictures
3.3391349999999997,175000000,331926147,The Good Dinosaur,Peter Sohn,93,1087,6.6,2015,160999929.16003102,305371920.876354,1.89672084,11,Raymond Ochoa,Adventure,Walt Disney Pictures
3.23737,50000000,71561644,Run All Night,Jaume Collet-Serra,114,814,6.3,2015,45999979.7600089,65836683.5118592,1.43123288,3,Liam Neeson,Action,Vertigo Entertainment
3.227329,11000000,62076141,Brooklyn,John Crowley,111,754,7.3,2015,10119995.5472019,57110024.5915891,5.643285545454545,11,Saoirse Ronan,Drama,Wildgaze Films
3.2027189999999996,28000000,201634991,Straight Outta Compton,F. Gary Gray,147,918,7.7,2015,25759988.665604897,185504110.098191,7.201249678571428,8,O'Shea Jackson Jr.,Drama,New Line Cinema
3.080505,90000000,140396650,The Last Witch Hunter,Breck Eisner,106,879,5.6,2015,82799963.56801601,129164861.16746101,1.5599627777777778,10,Vin Diesel,Fantasy,Summit Entertainment
3.0795220000000003,30000000,34441873,Steve Jobs,Danny Boyle,122,1035,6.9,2015,27599987.856005296,31686509.2179359,1.1480624333333334,10,Michael Fassbender,History,Universal Pictures
3.0534209999999997,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,116,1548,7.0,2015,68999969.64001329,99493456.50287908,1.4419347866666667,8,Henry Cavill,Comedy,Davis Entertainment
3.025852,25000000,42629776,The Age of Adaline,Lee Toland Krieger,112,1221,7.3,2015,22999989.8800044,39219376.6634742,1.70519104,4,Blake Lively,Fantasy,Lakeshore Entertainment
3.023253,10000000,14333790,Hardcore Henry,Ilya Naishuller,97,396,5.9,2015,9199995.95200178,13187080.9976843,1.433379,9,Sharlto Copley,Action,Bazelevs Production
2.976436,135000000,368871007,Home,Tim Johnson,94,1060,6.9,2015,124199945.352024,339361177.121082,2.7323778296296295,3,Jim Parsons,Fantasy,Twentieth Century Fox Film Corporation
2.968254,12000000,85512300,Paper Towns,Jake Schreier,109,1252,6.2,2015,11039995.1424021,78671281.38463621,7.126025,7,Nat Wolff,Drama,Fox 2000 Pictures
2.8851259999999996,4000000,9064511,The Lobster,Yorgos Lanthimos,118,638,6.6,2015,3679998.38080071,8339346.45068756,2.26612775,10,Colin Farrell,Thriller,Haut et Court
2.883233,11800000,40272135,Carol,Todd Haynes,118,562,7.1,2015,10855995.2233621,37050347.8978469,3.4128927966101696,11,Cate Blanchett,Romance,Killer Films
2.8148020000000002,35000000,194564672,The Intern,Nancy Meyers,121,1255,7.1,2015,32199985.8320062,178999419.480255,5.558990628571428,9,Robert De Niro,Comedy,Waverly Films
2.7980169999999998,55000000,203427584,Everest,Baltasar KormÃ¡kur,121,1172,6.7,2015,50599977.7360098,187153294.93255,3.6986833454545454,9,Jason Clarke,Adventure,Universal Pictures
2.793297,60000000,101134059,Joy,David O. Russell,124,1001,6.4,2015,55199975.71201059,93043293.3409509,1.68556765,12,Jennifer Lawrence,Comedy,Fox 2000 Pictures
2.6144990000000004,105000000,133718711,Point Break,Ericson Core,114,505,5.5,2015,96599957.49601871,123021159.990689,1.2735115333333333,12,Edgar RamÃ­rez,Action,Studio Babelsberg
2.584264,20000000,36606743,Burnt,John Wells,100,631,6.3,2015,18399991.9040035,33678188.7415969,1.83033715,10,Bradley Cooper,Drama,Double Feature Films
2.578919,26000000,30523226,Self/less,Tarsem Singh,116,719,6.2,2015,23919989.475204602,28081355.564203497,1.1739702307692308,7,Ryan Reynolds,Science Fiction,Endgame Entertainment
2.575711,60000000,30418560,Mortdecai,David Koepp,106,696,5.3,2015,55199975.71201059,27985062.8865723,0.506976,1,Johnny Depp,Comedy,Lionsgate
2.557859,15000000,64191523,The Danish Girl,Tom Hooper,120,867,7.3,2015,13799993.9280026,59056175.175282896,4.279434866666667,11,Eddie Redmayne,Drama,Pretty Pictures
2.5507470000000003,70000000,17752940,Blackhat,Michael Mann,133,584,5.0,2015,64399971.6640124,16332697.613613,0.25361342857142855,1,Chris Hemsworth,Mystery,Universal Pictures
2.487849,30000000,84025816,Sicario,Denis Villeneuve,121,1479,7.1,2015,27599987.856005296,77303716.7063646,2.800860533333333,9,Emily Blunt,Action,Lionsgate
2.4870419999999998,120000001,167977596,Fantastic Four,Josh Trank,100,1565,4.4,2015,110399952.34402,154539320.322699,1.3998132883348893,8,Miles Teller,Action,Twentieth Century Fox Film Corporation
2.46449,3500000,40423945,The Witch,Robert Eggers,92,700,5.8,2015,3219998.58320062,37190013.0363942,11.549698571428571,3,Anya Taylor-Joy,Mystery,Parts and Labor
2.404473,65000000,235666219,Spy,Paul Feig,120,1840,6.9,2015,59799973.6880115,216812826.082356,3.6256341384615385,5,Melissa McCarthy,Action,Twentieth Century Fox Film Corporation
2.395366,50100000,153962963,Focus,Glenn Ficarra|John Requa,105,1831,6.7,2015,46091979.7195289,141645863.63582,3.0731130339321355,2,Will Smith,Romance,Kramer & Sigman Films
2.354654,35000000,82347656,Hitman: Agent 47,Aleksander Bach,96,820,5.5,2015,32199985.8320062,75759810.18568349,2.3527901714285715,8,Rupert Friend,Action,Twentieth Century Fox Film Corporation
2.345821,100000000,93820758,In the Heart of the Sea,Ron Howard,122,805,6.4,2015,91999959.5200178,86315059.3813738,0.93820758,11,Chris Hemsworth,Thriller,Imagine Entertainment
2.3315669999999997,35000000,137935567,Creed,Ryan Coogler,133,1171,7.3,2015,32199985.8320062,126900665.803707,3.9410162,11,Michael B. Jordan,Drama,New Line Cinema
2.31767,35000000,140795793,Trainwreck,Judd Apatow,125,849,6.1,2015,32199985.8320062,129532072.56588799,4.022736942857143,7,Amy Schumer,Comedy,Universal Pictures
2.29573,13000000,32848185,Eye in the Sky,Gavin Hood,102,265,7.2,2015,11959994.737602301,30220316.9030605,2.5267834615384617,9,Helen Mirren,Drama,Entertainment One
2.28135,25000000,42972994,Legend,Brian Helgeland,131,619,6.7,2015,22999989.8800044,39535137.0845396,1.71891976,9,Tom Hardy,Crime,Working Title Films
